company_name,visit_date,role,category,ctc,eligibility_10_12_ug,students_applied,students_selected
TVS motors,27-12-2025,Team Leader - Civil (Projects & Maintenance),Level 4 - Core (Placement),8 lpa,60%,13,2
TWILIO,24-11-2025,Software Engineering intern,Level 2 - Marquee (Placement),24.49 LPA,70%,3523,3
UKG,15-11-2025,"Solution Consultant / Integration, Data, Analytics Consultant",Level 3 - Super Dream (Placement),12.47 lpa,70%,3063,6
Unistring Tech Solutions,04-06-2025,Research Intern,Level 7 - Regular Internship,20000-30000 per month,60%,53,1
UNO Minda,05-11-2025,GET,Level 4 - Core (Placement),5.5 LPA,60%,61,8
Valeo,31-07-2025,Intern,Level 7 - Regular Internship,15000 - 20000 per month,60%,37,2
Varroc Group,01-08-2025,Graduate Engineer Trainee (GET),Level 3 - Super Dream (Placement),12.50 lpa,70%,343,5
VA Tech Wabag,21-11-2025,Management Trainee (MT),Level 4 - Core (Placement),6.5 LPA,60%,17,3
Victopia Labs,18-09-2025,Software Engineer Intern,Level 4 - Dream (ILP),6 LPA,60%,3767,2
Virbhu India Pvt Ltd.,13-10-2025,Research Scholar – Power Electronics,Level 4 - Core (ILP),6 - 6.5 lpa,60%,311,4
Virtusa,07-07-2025,GET,Level 4 - Dream (Placement),5 - 6.5 lpa,65%,3027,9
Volvo,25-07-2025,Associate Graduate Engineer,Level 4 - Dream (Placement),8.25 LPA,65%,3460,7
Volvo,14-11-2025,Intern,Level 7 - Regular Internship,30000 per month,65%,176,4
Volvo,24-03-2025,PG Intern,Level 7 - Regular Internship,40000/- per month,65%,9,2
Wabtec Corporation,03-04-2025,Internship,Level 7 - Regular Internship,"35,000 per month",80%,24,1
Warner Bros Discovery,12-08-2025,Data Engineering Intern,Level 3 - Super Dream (ILP),17.8 LPA,75%,9,1
